timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1730325151646,208,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-38,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,208,0,17
1730325151671,224,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-39,text,true,,278,905,10,10,http://10.64.13.61/perfmonitor/v1/applications,224,0,17
1730325151697,209,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-40,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,209,0,19
1730325151722,211,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-41,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,211,0,20
1730325151744,210,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-42,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,210,0,15
1730325151770,208,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-43,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,208,0,17
1730325151796,215,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-44,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,215,0,18
1730325151821,208,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-45,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,208,0,13
1730325151843,214,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-46,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,214,0,23
1730325151869,208,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-47,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,208,0,19
1730325151894,209,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-48,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,209,0,13
1730325151916,219,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-49,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,219,0,18
1730325151944,217,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-50,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,217,0,23
1730325151967,207,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-51,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,207,0,17
